Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
115,21,9,130,1,Some Random Commen with Id 115
116,21,9,65,1,Some Random Commen with Id 116
117,21,9,70,7,Some Random Commen with Id 117
118,22,4,185,8,Some Random Commen with Id 118
119,22,4,168,8,Some Random Commen with Id 119
120,22,4,164,5,Some Random Commen with Id 120
121,22,4,89,8,Some Random Commen with Id 121
122,22,4,171,1,Some Random Commen with Id 122
123,22,4,130,4,Some Random Commen with Id 123
124,22,4,25,7,Some Random Commen with Id 124
125,22,4,98,6,Some Random Commen with Id 125
126,22,4,98,8,Some Random Commen with Id 126
127,24,3,85,3,Some Random Commen with Id 127
128,24,3,186,1,Some Random Commen with Id 128
129,24,3,119,4,Some Random Commen with Id 129
130,24,3,34,8,Some Random Commen with Id 130
131,24,3,34,6,Some Random Commen with Id 131
132,24,3,146,2,Some Random Commen with Id 132
133,24,3,177,5,Some Random Commen with Id 133
134,24,3,155,8,Some Random Commen with Id 134
135,24,3,194,7,Some Random Commen with Id 135
136,25,7,183,7,Some Random Commen with Id 136
137,25,7,133,3,Some Random Commen with Id 137
138,25,7,98,0,Some Random Commen with Id 138
139,26,7,22,9,Some Random Commen with Id 139
140,26,7,77,2,Some Random Commen with Id 140
141,26,7,0,6,Some Random Commen with Id 141
142,26,7,75,1,Some Random Commen with Id 142
143,27,4,87,5,Some Random Commen with Id 143
144,27,4,28,4,Some Random Commen with Id 144
145,27,4,125,4,Some Random Commen with Id 145
146,27,4,131,5,Some Random Commen with Id 146
147,27,4,12,2,Some Random Commen with Id 147
148,27,4,120,0,Some Random Commen with Id 148
149,27,4,141,6,Some Random Commen with Id 149
150,27,4,190,4,Some Random Commen with Id 150
151,28,8,128,1,Some Random Commen with Id 151
152,28,8,88,2,Some Random Commen with Id 152
153,29,6,12,7,Some Random Commen with Id 153
154,29,6,67,0,Some Random Commen with Id 154
155,29,6,104,0,Some Random Commen with Id 155
156,29,6,118,6,Some Random Commen with Id 156
157,29,6,41,0,Some Random Commen with Id 157
158,29,6,143,7,Some Random Commen with Id 158
159,29,6,28,6,Some Random Commen with Id 159
160,29,6,90,0,Some Random Commen with Id 160
161,29,6,91,4,Some Random Commen with Id 161
162,30,8,134,2,Some Random Commen with Id 162
163,30,8,83,2,Some Random Commen with Id 163
164,31,7,161,6,Some Random Commen with Id 164
165,31,7,152,3,Some Random Commen with Id 165
166,31,7,5,2,Some Random Commen with Id 166
167,31,7,156,8,Some Random Commen with Id 167
168,31,7,176,6,Some Random Commen with Id 168
169,31,7,141,8,Some Random Commen with Id 169
170,31,7,71,6,Some Random Commen with Id 170
171,31,7,45,6,Some Random Commen with Id 171
172,31,7,158,6,Some Random Commen with Id 172
173,32,2,34,4,Some Random Commen with Id 173
174,32,2,20,3,Some Random Commen with Id 174
175,32,2,124,2,Some Random Commen with Id 175
176,34,0,20,8,Some Random Commen with Id 176
177,34,0,159,0,Some Random Commen with Id 177
178,34,0,99,1,Some Random Commen with Id 178
179,34,0,99,7,Some Random Commen with Id 179
180,35,4,101,1,Some Random Commen with Id 180
181,35,4,96,9,Some Random Commen with Id 181
182,36,0,29,2,Some Random Commen with Id 182
183,36,0,85,4,Some Random Commen with Id 183
184,36,0,45,3,Some Random Commen with Id 184
185,37,9,3,7,Some Random Commen with Id 185
186,37,9,98,4,Some Random Commen with Id 186
187,38,2,150,0,Some Random Commen with Id 187
188,38,2,68,6,Some Random Commen with Id 188
189,38,2,192,5,Some Random Commen with Id 189
190,38,2,55,3,Some Random Commen with Id 190
191,38,2,63,4,Some Random Commen with Id 191
192,38,2,35,0,Some Random Commen with Id 192
193,39,5,98,9,Some Random Commen with Id 193
194,39,5,113,7,Some Random Commen with Id 194
195,39,5,126,6,Some Random Commen with Id 195
